Id,Name,Property_type,Room_type,Min_nights,Max_nights,Cancellation_policy,Accomodates,Total_bedrooms,Total_beds,Price,Security_deposit,Cleaning_fee,Extra_people,Guests_included,No_of_reviews,Review_scores,Host_id,Host_name,Availability_30,Availability_60,Availability_90,Availability_365,Country,Longitude,Latitude,City
31490186,NY WORLD KONAKLAMA,Bed and breakfast,Private room,1,1125,flexible,4,1.3490136570561457,1.9816232771822357,269,726.4401913875598,82.5373665480427,0.0,1.0,0,92,100996498,Vedat,30,60,90,365,Turkey,28.61252,40.99928,Büyükçekmece
314982,Share in NYC's trendy East Village,Apartment,Private room,3,27,strict_14_with_grace_period,2,1.3226863226863228,1.0,89,271.6562150055991,116.97643732327991,30.0,1.0,125,94,1617817,Chris,14,18,27,260,United States,-73.98717,40.73171,New York
3167712,Private roon / Quarto individual,Apartment,Private room,10,30,strict_14_with_grace_period,2,1.0,1.0,399,1204.209631728045,154.4988066825776,0.0,1.0,0,95,4863661,Mathieu,0,0,0,0,Brazil,-43.181862794887444,-22.96502572399953,Rio de Janeiro
31804969,Large apt in the heart of downtown,Apartment,Entire home/apt,2,4,flexible,2,1.0,1.0,85,324.84578313253013,50.470715835141,0.0,1.0,0,93,7044002,Karine,0,0,0,0,Canada,-73.58366,45.49229,Montreal
31984651,Vem pro Flamengo!,Apartment,Private room,2,10,flexible,1,1.0,1.0,71,1204.209631728045,154.4988066825776,0.0,1.0,0,95,98286732,Rhayssa,14,44,74,349,Brazil,-43.174561567332894,-22.937471050205005,Flamengo
32008854,PRIVATE TERRACE *** 3 ROOM *** TAKSIM,Apartment,Entire home/apt,3,79,strict_14_with_grace_period,6,1.3490136570561457,1.9816232771822357,448,726.4401913875598,82.5373665480427,60.0,3.0,2,92,11628655,Ozde And Omer,6,11,26,297,Turkey,28.98759,41.0344,Beyoglu
32014374,Classic French Villa with 4 Parkinks (7# Room),Villa,Private room,1,1125,flexible,2,1.0,1.0,55,324.84578313253013,50.470715835141,10.0,2.0,0,93,232286931,Deng,29,59,89,179,Canada,-73.64385,45.52531,Montreal 
32037744,Ideal apartment for families. With gorgeous views,Apartment,Entire home/apt,31,1125,flexible,5,3.0,4.0,40,242.726862302483,43.026209677419345,0.0,1.0,0,91,138009034,Fernando,18,48,78,320,Spain,2.15006,41.43322,Barcelona
32082784,CHAMBRE NON FUMEUR AVEC SA CLÉ (FEMALE ONLY),Apartment,Private room,2,30,flexible,1,1.0,1.0,35,324.84578313253013,50.470715835141,0.0,1.0,1,93,240610820,Marie,9,31,39,39,Canada,-73.62691,45.49398,Montreal
32159739,Copacabana 3 quartos SF,Apartment,Entire home/apt,7,1125,strict_14_with_grace_period,6,3.0,3.0,1201,1204.209631728045,154.4988066825776,0.0,6.0,0,95,4255118,Ricardo,15,45,75,75,Brazil,-43.19515331594631,-22.982793034246036,Copacabana
32160778,Perfect Location! Suite Room 1 min from La Rambla,Apartment,Private room,1,1125,strict_14_with_grace_period,2,1.0,1.0,80,242.726862302483,43.026209677419345,0.0,1.0,1,91,240567676,Aldo,7,29,59,269,Spain,2.17498,41.37804,Barcelona
32178403,Modern & Cosy 3BD in Ramblas *Balcony,Apartment,Entire home/apt,2,1125,moderate,8,3.0,3.0,120,242.726862302483,43.026209677419345,20.0,7.0,2,91,32037490,SweetInn,12,42,72,276,Spain,2.17803,41.37924,Barcelona
32180649,Chambre dans Spa house,Townhouse,Private room,1,1125,flexible,6,2.0,5.0,60,324.84578313253013,50.470715835141,25.0,2.0,0,93,1863423,Patrick,29,59,89,330,Canada,-73.58543,45.53258,Montreal
32307429,Montreal downtown cando Bonaventure metro station,Apartment,Entire home/apt,1,1125,strict_14_with_grace_period,2,1.0,2.0,101,324.84578313253013,50.470715835141,15.0,2.0,0,93,80972215,Lihua,0,0,12,12,Canada,-73.56076,45.48912,Montreal
3237716,Small comfy en suite single room,Apartment,Private room,1,7,moderate,1,1.0,1.0,149,1204.209631728045,154.4988066825776,0.0,1.0,0,95,16382065,Lis And Tarsilo,30,60,90,365,Brazil,-43.18351446845545,-22.931686079449907,Rio de Janeiro
32759894,NEW! Homey Double Bedroom #8/TST MTR 2 mins,Apartment,Private room,2,30,strict_14_with_grace_period,2,0.0,1.7395659432387311,361,1424.055718475073,179.45801526717557,0.0,1.0,0,91,243611445,Hannah V,12,42,65,65,Hong Kong,114.17182,22.29733,Hong Kong
30973388,Good apartment without any noises,Apartment,Entire home/apt,2,45,flexible,3,1.3490136570561457,1.9816232771822357,227,726.4401913875598,82.5373665480427,0.0,1.0,0,92,218359950,Mahtab,8,38,68,343,Turkey,28.98602,41.03046,Beyoglu
30763079,BCN11# Double room with bathroom A/C,Apartment,Private room,1,1125,strict_14_with_grace_period,2,1.0,1.0,40,242.726862302483,43.026209677419345,0.0,1.0,13,91,150795362,Cristina And Lorenzo,18,28,58,277,Spain,2.18541,41.38394,Barcelona
